20180001	82
20180002	84
20180003	61
20180004	74
20180005	81
20180006	61
20180007	62
20180008	85
20180009	61
20180010	76
20180011	98
20180012	85
20180013	62
20180014	80
20180015	70
20180016	79
20180017	92
20180018	71
20180019	90
20180020	55
20180021	76
20180022	85
20180023	91
20180024	78
20180025	80
20180026	81
20180027	83
20180028	65
20180029	83
20180030	56
20180031	72
20180032	73
20180033	56
20180034	85
20180035	68
20180036	66
20180037	71
20180038	76
20180039	82
20180040	83
20180041	74
20180042	71
20180043	66
20180044	67
20180045	65
20180046	71
20180047	69
